BuildingClass,StreetSize,LotArea,BuildingType,OverallCondition,YearRemodeled,LivingAreaSize,Bathroom,Bedroom,Kitchen,TotalRooms,Fireplaces,GarageCars,GarageArea,SaleCondition,SalePrice
60.0,65.0,8450.0,1Family,5.0,2003.0,1710.0,2.0,3.0,1.0,8.0,0.0,2.0,548.0,Normal,208500
20.0,80.0,9600.0,1Family,8.0,,1262.0,2.0,3.0,1.0,6.0,1.0,2.0,460.0,Normal,181500
60.0,68.0,11250.0,1Family,5.0,,1786.0,2.0,3.0,1.0,6.0,1.0,2.0,608.0,Normal,223500
70.0,60.0,9550.0,1Family,5.0,1970.0,1717.0,1.0,3.0,1.0,7.0,1.0,3.0,642.0,Abnormal,140000
60.0,84.0,14260.0,1Family,5.0,2000.0,2198.0,2.0,4.0,,9.0,1.0,3.0,836.0,Normal,250000
50.0,85.0,14115.0,1Family,5.0,1995.0,,1.0,1.0,1.0,5.0,0.0,2.0,480.0,Normal,143000
20.0,75.0,10084.0,1Family,5.0,2005.0,,2.0,3.0,1.0,7.0,1.0,2.0,636.0,Normal,307000
60.0,,10382.0,1Family,6.0,1973.0,2090.0,2.0,3.0,1.0,7.0,2.0,2.0,484.0,Normal,200000
50.0,51.0,6120.0,1Family,5.0,1950.0,1774.0,2.0,2.0,,8.0,2.0,2.0,468.0,Abnormal,129900
190.0,50.0,7420.0,2Family,6.0,1950.0,1077.0,1.0,2.0,2.0,5.0,2.0,1.0,205.0,Normal,118000
,,11200.0,1Family,5.0,1965.0,1040.0,1.0,3.0,1.0,5.0,0.0,1.0,384.0,Normal,129500
60.0,85.0,11924.0,1Family,5.0,2006.0,2324.0,3.0,4.0,1.0,11.0,2.0,3.0,736.0,Partial,345000
20.0,,12968.0,1Family,6.0,1962.0,912.0,1.0,,1.0,4.0,0.0,1.0,352.0,Normal,144000
20.0,91.0,10652.0,1Family,5.0,2007.0,1494.0,2.0,3.0,1.0,,1.0,3.0,840.0,Partial,279500
20.0,,10920.0,1Family,5.0,1960.0,1253.0,1.0,2.0,1.0,5.0,1.0,1.0,352.0,Normal,157000
45.0,51.0,,1Family,8.0,2001.0,854.0,1.0,2.0,1.0,5.0,0.0,2.0,576.0,Normal,132000
20.0,,11241.0,1Family,7.0,1970.0,1004.0,1.0,2.0,,5.0,1.0,2.0,480.0,Normal,149000
90.0,72.0,10791.0,Duplex,5.0,1967.0,1296.0,2.0,2.0,2.0,6.0,0.0,2.0,516.0,Normal,90000
20.0,66.0,13695.0,1Family,5.0,2004.0,1114.0,1.0,3.0,1.0,6.0,0.0,2.0,576.0,Normal,159000
20.0,70.0,7560.0,1Family,6.0,1965.0,1339.0,1.0,3.0,1.0,6.0,0.0,1.0,294.0,Abnormal,139000
60.0,101.0,14215.0,1Family,5.0,2006.0,2376.0,3.0,4.0,1.0,9.0,1.0,3.0,853.0,Partial,325300
45.0,57.0,,1Family,7.0,1950.0,1108.0,1.0,3.0,1.0,6.0,1.0,1.0,280.0,Normal,139400
20.0,75.0,9742.0,1Family,5.0,2002.0,1795.0,2.0,3.0,,7.0,1.0,2.0,534.0,Normal,230000
120.0,44.0,4224.0,Townhouse,7.0,1976.0,1060.0,1.0,3.0,1.0,6.0,1.0,2.0,572.0,Normal,129900
20.0,,8246.0,1Family,8.0,2001.0,1060.0,1.0,3.0,1.0,6.0,1.0,1.0,270.0,Normal,154000
20.0,110.0,14230.0,1Family,5.0,2007.0,1600.0,2.0,3.0,1.0,7.0,1.0,3.0,890.0,Normal,256300
20.0,60.0,7200.0,1Family,7.0,2000.0,900.0,1.0,3.0,1.0,5.0,0.0,2.0,,Normal,134800
20.0,98.0,11478.0,1Family,5.0,2008.0,1704.0,2.0,3.0,1.0,7.0,1.0,3.0,772.0,Normal,306000
20.0,47.0,16321.0,1Family,6.0,1997.0,1600.0,1.0,2.0,1.0,6.0,2.0,1.0,319.0,Normal,207500
30.0,60.0,6324.0,1Family,6.0,1950.0,520.0,,1.0,1.0,4.0,0.0,1.0,240.0,Normal,68500
70.0,50.0,8500.0,1Family,4.0,1950.0,,1.0,3.0,1.0,6.0,0.0,1.0,250.0,Normal,40000
20.0,,8544.0,1Family,6.0,2006.0,1228.0,1.0,3.0,1.0,6.0,0.0,1.0,271.0,Normal,149350
20.0,85.0,11049.0,1Family,5.0,2007.0,1234.0,2.0,3.0,1.0,7.0,0.0,2.0,484.0,Normal,179900
20.0,,10552.0,1Family,5.0,,1700.0,1.0,4.0,1.0,6.0,1.0,2.0,447.0,Normal,165500
120.0,60.0,7313.0,Townhouse,5.0,2005.0,1561.0,2.0,2.0,1.0,6.0,1.0,2.0,556.0,Normal,277500
60.0,108.0,13418.0,1Family,5.0,2005.0,2452.0,3.0,4.0,1.0,9.0,1.0,3.0,691.0,Normal,309000
20.0,112.0,10859.0,1Family,5.0,1995.0,1097.0,1.0,,1.0,6.0,0.0,2.0,672.0,Normal,145000
20.0,74.0,8532.0,1Family,6.0,1990.0,1297.0,1.0,3.0,,5.0,1.0,2.0,498.0,Normal,153000
20.0,68.0,7922.0,1Family,7.0,2007.0,1057.0,1.0,3.0,1.0,5.0,0.0,1.0,246.0,Abnormal,109000
90.0,65.0,6040.0,Duplex,5.0,1955.0,1152.0,2.0,2.0,2.0,,0.0,0.0,0.0,Abnormal,82000
20.0,,8658.0,1Family,5.0,1965.0,1324.0,2.0,3.0,1.0,6.0,1.0,,440.0,Abnormal,160000
20.0,115.0,16905.0,1Family,6.0,1959.0,1328.0,1.0,2.0,1.0,5.0,2.0,1.0,308.0,Normal,170000
85.0,,9180.0,1Family,7.0,1983.0,884.0,1.0,2.0,1.0,5.0,0.0,2.0,504.0,Normal,144000
20.0,,9200.0,1Family,6.0,1980.0,938.0,1.0,3.0,1.0,5.0,0.0,1.0,308.0,Normal,130250
20.0,70.0,7945.0,1Family,6.0,1959.0,1150.0,1.0,3.0,1.0,6.0,0.0,1.0,300.0,Normal,141000
120.0,61.0,7658.0,Townhouse,5.0,2005.0,1752.0,2.0,2.0,1.0,,1.0,2.0,576.0,Normal,319900
,48.0,,1Family,5.0,2003.0,2149.0,1.0,1.0,1.0,6.0,,2.0,670.0,Abnormal,239686
20.0,84.0,11096.0,1Family,5.0,2006.0,1656.0,2.0,3.0,1.0,7.0,0.0,3.0,826.0,Normal,249700
190.0,33.0,4456.0,2Family,5.0,2008.0,1452.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,Partial,113000
20.0,66.0,7742.0,1Family,7.0,,955.0,1.0,3.0,1.0,6.0,0.0,1.0,386.0,Normal,127000
60.0,,13869.0,1Family,6.0,1997.0,1470.0,2.0,3.0,1.0,6.0,0.0,2.0,388.0,,177000
50.0,52.0,6240.0,1Family,6.0,1950.0,1176.0,1.0,3.0,1.0,6.0,1.0,2.0,528.0,Normal,114500
90.0,110.0,8472.0,Duplex,5.0,1963.0,816.0,1.0,2.0,1.0,5.0,0.0,2.0,516.0,Normal,110000
20.0,68.0,50271.0,1Family,5.0,1987.0,1842.0,0.0,0.0,1.0,5.0,1.0,3.0,894.0,Normal,385000
80.0,60.0,7134.0,1Family,5.0,,1360.0,1.0,3.0,1.0,6.0,,,572.0,Normal,130000
20.0,100.0,10175.0,1Family,5.0,1964.0,1425.0,2.0,3.0,1.0,7.0,1.0,2.0,576.0,Normal,180500
160.0,,2645.0,Townhouse,,2000.0,1739.0,2.0,3.0,1.0,7.0,0.0,2.0,480.0,Abnormal,172500
60.0,89.0,11645.0,1Family,5.0,2004.0,1720.0,2.0,3.0,1.0,7.0,0.0,2.0,565.0,Normal,196500
60.0,66.0,13682.0,,5.0,2006.0,2945.0,3.0,3.0,1.0,10.0,1.0,3.0,641.0,Partial,438780
20.0,60.0,7200.0,1Family,7.0,1972.0,780.0,1.0,2.0,1.0,4.0,0.0,1.0,352.0,Normal,124900
20.0,63.0,13072.0,1Family,5.0,2004.0,1158.0,1.0,3.0,1.0,5.0,0.0,2.0,576.0,Partial,158000
75.0,60.0,7200.0,1Family,7.0,1996.0,1111.0,1.0,3.0,1.0,6.0,0.0,1.0,,Normal,101000
120.0,44.0,6442.0,Townhouse,5.0,2006.0,1370.0,2.0,2.0,1.0,6.0,1.0,2.0,484.0,Normal,202500
70.0,50.0,10300.0,1Family,6.0,1950.0,1710.0,2.0,3.0,1.0,9.0,0.0,2.0,480.0,Normal,140000
60.0,,9375.0,1Family,5.0,,2034.0,,3.0,1.0,8.0,,2.0,645.0,Normal,219500
60.0,76.0,9591.0,1Family,5.0,2005.0,2473.0,2.0,4.0,1.0,9.0,1.0,3.0,852.0,Normal,317000
20.0,,19900.0,,5.0,1989.0,2207.0,2.0,3.0,1.0,,1.0,2.0,576.0,Normal,180000
20.0,72.0,,1Family,5.0,2003.0,1479.0,2.0,3.0,1.0,7.0,0.0,2.0,558.0,Normal,226000
,47.0,4608.0,,6.0,,747.0,1.0,2.0,1.0,4.0,0.0,,220.0,Normal,80000
50.0,81.0,15593.0,1Family,4.0,1953.0,2287.0,2.0,3.0,1.0,7.0,1.0,,667.0,Normal,225000
20.0,95.0,,1Family,6.0,1973.0,2223.0,2.0,3.0,1.0,8.0,2.0,2.0,516.0,Normal,244000
